Bulgarian	English	Bulgarian_Example	English_Example
като	as	Той е висок като баща си.	He is tall like his father.
I	I	Аз съм студент.	I am a student.
си	his	Това е неговата си книга.	This is his book.
че	that	Знам, че ще дойде.	I know that he will come.
той	he	Той живее тук.	He lives here.
е	was	Той е учител.	He was a teacher.
за	for	Това е за теб.	This is for you.
на	on	Книгата е на масата.	The book is on the table.
са	are	Те са приятели.	They are friends.
с	with	Идвам с теб.	I'm coming with you.
те	they	Те играят футбол.	They play football.
бъде	be	Трябва да бъде готов.	It needs to be ready.
в	at	Съм в училище.	I'm at school.
един	one	Имам един брат.	I have one brother.
имат	have	Те имат кола.	They have a car.
тази	this	Тази книга е интересна.	This book is interesting.
от	from	Идвам от България.	I come from Bulgaria.
от	by	Книгата е написана от автора.	The book is written by the author.
горещ	hot	Днес е много горещо.	Today is very hot.
дума	word	Не разбирам тази дума.	I don't understand this word.
но	but	Искам да дойда, но съм зает.	I want to come, but I'm busy.
какво	what	Какво правиш?	What are you doing?
някои	some	Някои хора обичат кафе.	Some people like coffee.
е	is	Това е моята къща.	This is my house.
тя	it	Тя е красива.	She is beautiful.
ви	you	Как сте вие?	How are you?
или	or	Чай или кафе?	Tea or coffee?
имаше	had	Той имаше много приятели.	He had many friends.
на	the	На масата има книга.	There is a book on the table.
от	of	Част от торта.	A piece of cake.
да	to	Трябва да работя.	I have to work.
и	and	Хляб и масло.	Bread and butter.
а	a	Това е добра идея.	This is a good idea.
в	in	Живея в София.	I live in Sofia.
ние	we	Ние сме семейство.	We are a family.
може	can	Може да дойда утре.	I can come tomorrow.
от	out	Излязох от къщата.	I went out of the house.
други	other	Други хора мислят различно.	Other people think differently.
бяха	were	Те бяха много щастливи.	They were very happy.
които	which	Книгите, които чета.	The books which I read.
правя	do	Какво правя днес?	What do I do today?
си	their	Това е тяхната си къща.	This is their house.
време	time	Нямам време сега.	I don't have time now.
ако	if	Ако дойдеш, ще се радвам.	If you come, I'll be happy.
ще	will	Ще дойда утре.	I will come tomorrow.
как	how	Как се казваш?	What is your name?
каза	said	Той каза истината.	He said the truth.
един	an	Това е интересна книга.	This is an interesting book.
всеки	each	Всеки ден ходя на работа.	I go to work each day.
кажете	tell	Кажете ми какво мислите.	Tell me what you think.
прави	does	Какво прави той?	What does he do?
комплект	set	Купих комплект чинии.	I bought a set of plates.
три	three	Имам три деца.	I have three children.
искам	want	Искам да пътувам.	I want to travel.
въздух	air	Въздухът е свеж.	The air is fresh.
добре	well	Говоря добре английски.	I speak English well.
също	also	Също така обичам музика.	I also like music.
играе	play	Детето играе в парка.	The child plays in the park.
малък	small	Това е малка котка.	This is a small cat.
край	end	В края на филма.	At the end of the movie.
постави	put	Постави книгата на масата.	Put the book on the table.
Начало	home	Прибирам се у дома.	I'm going home.
Прочети	read	Чета интересна книга.	I read an interesting book.
ръка	hand	Дай ми ръката си.	Give me your hand.
порт	port	Корабът пристигна в порта.	The ship arrived at the port.
голям	large	Това е голяма къща.	This is a large house.
правописа	spell	Как се пише тази дума?	How do you spell this word?
добави	add	Добави мляко в кафето.	Add milk to the coffee.
още	even	Още не съм готов.	I'm not even ready.
земя	land	Купи земя в село.	He bought land in the village.
тук	here	Тук е много красиво.	It's very beautiful here.
трябва	must	Трябва да отида сега.	I must go now.
голям	big	Голям проблем.	A big problem.
високо	high	Планината е висока.	The mountain is high.
като	such	Такъв човек като теб.	Such a person like you.
следвайте	follow	Следвайте указанията.	Follow the instructions.
акт	act	Това е добър акт.	This is a good act.
защо	why	Защо не дойде?	Why didn't he come?
попитайте	ask	Попитайте го какво иска.	Ask him what he wants.
мъже	men	Мъжете работят в градината.	The men work in the garden.
промяна	change	Има промяна в плановете.	There's a change in the plans.
Отидох	went	Отидох в магазина.	I went to the store.
светлина	light	Включи светлината.	Turn on the light.
вид	kind	Какъв вид музика обичаш?	What kind of music do you like?
разстояние	off	Изключи лампата.	Turn off the lamp.
трябва	need	Трябва ми помощ.	I need help.
къща	house	Живея в малка къща.	I live in a small house.
снимка	picture	Направи снимка на гледката.	Take a picture of the view.
опитайте	try	Опитай тази храна.	Try this food.
нас	us	Той дойде при нас.	He came to us.
отново	again	Ще се видим отново.	We'll see each other again.
животните	animal	Обичам животните.	I love animals.
точка	point	Това е важна точка.	This is an important point.
майка	mother	Майка ми готви вечеря.	My mother cooks dinner.
свят	world	Светът е голям.	The world is big.
в близост	near	Живея близо до училище.	I live near the school.
изграждане	build	Строя нова къща.	I'm building a new house.
самостоятелно	self	Правя всичко сам.	I do everything by myself.
Земята	earth	Земята е кръгла.	The Earth is round.
баща	father	Баща ми е учител.	My father is a teacher.
всеки	any	Можеш да избереш който и да е.	You can choose any one.
нова	new	Купих нова кола.	I bought a new car.
работа	work	Работата ми е интересна.	My work is interesting.
част	part	Това е част от плана.	This is part of the plan.
предприеме	take	Взе книгата от масата.	He took the book from the table.
получите	get	Получих писмо днес.	I got a letter today.
място	place	Това е красиво място.	This is a beautiful place.
направи	made	Направи торта за рождения ден.	She made a cake for the birthday.
живея	live	Живея в София.	I live in Sofia.
където	where	Къде живееш?	Where do you live?
след	after	След работа ходя у дома.	After work I go home.
обратно	back	Върна се обратно у дома.	He went back home.
малко	little	Имам малко време.	I have little time.
само	only	Само аз знам истината.	Only I know the truth.
кръг	round	Масата е кръгла.	The table is round.
мъж	man	Този мъж е висок.	This man is tall.
година	year	Тази година е специална.	This year is special.
дойде	came	Той дойде вчера.	He came yesterday.
Покажи	show	Покажи ми снимката.	Show me the picture.
всеки	every	Всеки ден чета.	I read every day.
добър	good	Това е добра идея.	This is a good idea.
мен	me	Той ми каза истината.	He told me the truth.
даде	give	Дай ми водата.	Give me the water.
ни	our	Това е нашата къща.	This is our house.
под	under	Котката е под масата.	The cat is under the table.
име	name	Как се казваш?	What's your name?
много	very	Много съм щастлив.	I'm very happy.
чрез	through	Минах през парка.	I went through the park.
просто	just	Просто искам да помогна.	I just want to help.
форма	form	Попълни формата.	Fill out the form.
изречение	sentence	Това е дълго изречение.	This is a long sentence.
голям	great	Това е страхотна идея.	This is a great idea.
мисля	think	Мисля, че имаш право.	I think you're right.
